pmid,id,arm_num,difficulty,feedback,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,orig__golden,abstract,pmid,title
3810427,1830428521,two,4,,,,Hyperrtonic crystalloid,Not Sure,,,,,,Ringer's lactate,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,TRUE,Unknown,TRUE,,,Pharmacological,TRUE,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,,"To better define the serum osmolar and compositional changes associated with the infusion of a large volume of hypertonic saline solution (sodium of 250 milliequivalents per liter), we compared resuscitation using a hypertonic crystalloid (HSL) to Ringer's lactate (RL) in 52 patients undergoing aortic reconstruction. There were no differences between the groups in any of the preoperative measurements, the duration of operation, operative blood loss or transfusion requirement. The RL group required 9.5 liters of fluid intraoperatively as compared with 6.3 liters required by the HSL group (p less than 0.01). There was no significant difference between the groups in the amount of sodium infused to achieve resuscitation or in the sodium balance at the end of the study period. Hypernatremia (average maximum serum sodium: 157 milliequivalents per liter) and hyperosmolarity (average maximum serum osmolarity: 320 milliosmoles per liter) resolved in the HSL group within 48 hours. Correction of the hyperosmolar state was thought to be due to the judicious administration of free water and a decrease in renal free water clearance. The HSL group required significantly greater potassium administration during the early postoperative period due to increased kaluresis. HSL is safe and effective for use in the resuscitation of moderate blood volume deficit. Changes in serum sodium values and in osmolarity resolve rapidly. The serum potassium level should be monitored closely and replaced aggressively.",3810427,Serum osmolar and electrolyte changes associated with large infusions of hypertonic sodium lactate for intravascular volume expansion of patients undergoing aortic reconstruction.
6359885,1824175837,two,4,,,,"DNA synthesis, hydroxyurea",Cellular and Gene,,,,,,control,Cellular and Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2 to 9.2 years,TRUE,ba,TRUE,Hydroxyurea: a radiation potentiator in carcinoma of the uterine cervix. A randomized double-blind study.,TRUE,Cellular and Gene,TRUE,na,TRUE,40,TRUE,na,TRUE,,"From June, 1972, to December, 1976, 40 patients with FIGO (International Federation of Gynaecology and Obstetrics) Stage IIB carcinoma of the uterine cervix were entered into a prospective, double-blind, randomized study to evaluate the possible radiation-potentiating properties (i.e., improved survival) of the S-phase cell cycle-specific inhibitor of DNA synthesis, hydroxyurea. All patients were documented to be without aortic lymph node metastasis by pretherapy staging para-aortic lymphadenectomy. All 40 patients were followed up for longer than 5 years (5.2 to 9.2 years) or until death. The double-blind code was not broken until all patients had been followed up for a minimum of 2 to 5 years. Leukopenia (white blood cell count less than 2,500 mm3) was significantly increased in the patients given hydroxyurea as compared to those given placebo (P less than 0.0001). There was no statistically significant difference relative to anemia, thrombocytopenia, radiation-induced skin reaction, and radiation-induced intestinal reaction between the patients given placebo or those given hydroxyurea. Life-table survival for the patients given hydroxyurea was 94% as compared to 53% for the patients given placebo (P = 0.006). Only one (5%) patient given hydroxyurea died of cervical cancer. Of the other patients who died in the group given hydroxyurea, all were confirmed by postmortem examination to have been without recurrent cervical cancer. In contrast, 45% (nine) of the patients given placebo died of cervical cancer.",6359885,Hydroxyurea: a radiation potentiator in carcinoma of the uterine cervix. A randomized double-blind study.
6359885,1824359577,two,5,,n/a,,Hydroxyurea,Not Sure,n/a,,n/a,n/a,,Hydroxyurea,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 months,TRUE,,,Hydroxyurea,TRUE,,,,,40,TRUE,,,,"From June, 1972, to December, 1976, 40 patients with FIGO (International Federation of Gynaecology and Obstetrics) Stage IIB carcinoma of the uterine cervix were entered into a prospective, double-blind, randomized study to evaluate the possible radiation-potentiating properties (i.e., improved survival) of the S-phase cell cycle-specific inhibitor of DNA synthesis, hydroxyurea. All patients were documented to be without aortic lymph node metastasis by pretherapy staging para-aortic lymphadenectomy. All 40 patients were followed up for longer than 5 years (5.2 to 9.2 years) or until death. The double-blind code was not broken until all patients had been followed up for a minimum of 2 to 5 years. Leukopenia (white blood cell count less than 2,500 mm3) was significantly increased in the patients given hydroxyurea as compared to those given placebo (P less than 0.0001). There was no statistically significant difference relative to anemia, thrombocytopenia, radiation-induced skin reaction, and radiation-induced intestinal reaction between the patients given placebo or those given hydroxyurea. Life-table survival for the patients given hydroxyurea was 94% as compared to 53% for the patients given placebo (P = 0.006). Only one (5%) patient given hydroxyurea died of cervical cancer. Of the other patients who died in the group given hydroxyurea, all were confirmed by postmortem examination to have been without recurrent cervical cancer. In contrast, 45% (nine) of the patients given placebo died of cervical cancer.",6359885,Hydroxyurea: a radiation potentiator in carcinoma of the uterine cervix. A randomized double-blind study.
6359885,1829153961,two,,,,,hydroxyurea,Pharmacological,,,,,,placebo,Pharmacological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2 to 9.2 years,TRUE,NA,TRUE,,,Pharmacological,TRUE,NA,TRUE,40,TRUE,NA,TRUE,,"From June, 1972, to December, 1976, 40 patients with FIGO (International Federation of Gynaecology and Obstetrics) Stage IIB carcinoma of the uterine cervix were entered into a prospective, double-blind, randomized study to evaluate the possible radiation-potentiating properties (i.e., improved survival) of the S-phase cell cycle-specific inhibitor of DNA synthesis, hydroxyurea. All patients were documented to be without aortic lymph node metastasis by pretherapy staging para-aortic lymphadenectomy. All 40 patients were followed up for longer than 5 years (5.2 to 9.2 years) or until death. The double-blind code was not broken until all patients had been followed up for a minimum of 2 to 5 years. Leukopenia (white blood cell count less than 2,500 mm3) was significantly increased in the patients given hydroxyurea as compared to those given placebo (P less than 0.0001). There was no statistically significant difference relative to anemia, thrombocytopenia, radiation-induced skin reaction, and radiation-induced intestinal reaction between the patients given placebo or those given hydroxyurea. Life-table survival for the patients given hydroxyurea was 94% as compared to 53% for the patients given placebo (P = 0.006). Only one (5%) patient given hydroxyurea died of cervical cancer. Of the other patients who died in the group given hydroxyurea, all were confirmed by postmortem examination to have been without recurrent cervical cancer. In contrast, 45% (nine) of the patients given placebo died of cervical cancer.",6359885,Hydroxyurea: a radiation potentiator in carcinoma of the uterine cervix. A randomized double-blind study.
6726466,1824194953,seven,4,,0 mg,,0,Pharmacological,,,,2.6,,2.6,Pharmacological,,,,5,,5,Pharmacological,,,,7.5,,7.5,Pharmacological,,,,10,,10,Pharmacological,,,,15,,15,Pharmacological,,,,20,,20,Pharmacological,,,,,,,,,,,,24 hrs,TRUE,,,Effect of maternal pyridoxine X HCl supplementation on the vitamin B-6 status of mother and infant and on pregnancy outcome.,TRUE,Pharmacological,TRUE,na,TRUE,na,TRUE,na,TRUE,,"The effect of maternal pyridoxine X HCl (PN-HCl) supplementation on the vitamin B-6 status of pregnant women and their infants at birth and on pregnancy outcome was investigated. Volunteer subjects were randomly assigned a daily vitamin B-6 supplement containing 0, 2.6, 5, 7.5, 10, 15 or 20 mg of PN-HCl in a double-blind study. The mean dietary vitamin B-6 intake of the group was 1.43 +/- 1.28 mg/day as estimated from 24-hour dietary recalls. Maternal plasma pyridoxal 5'-phosphate (PLP) levels were positively correlated with vitamin B-6 supplementation at 30 weeks gestation (r = 0.55, P less than 0.0005) and at delivery (r = 0.54, P less than 0.01). Cord plasma PLP levels reached a maximum when maternal PN-HCl supplementation was 7.5 mg and greater. Supplemental PN-HCl at the 7.5-mg level was required to prevent a decrease in maternal plasma PLP at delivery. Apgar scores at 1 minute after birth were higher (P less than 0.05) for infants whose mothers took 7.5 mg or more supplemental PN-HCl than for infants of mothers who took 5 mg or less. These findings indicate that a vitamin B-6 intake between 5.5 and 7.6 mg/day (diet plus supplement as pyridoxine equivalents) was required to maintain maternal plasma PLP levels at term at a level comparable to initial values.",6726466,Effect of maternal pyridoxine X HCl supplementation on the vitamin B-6 status of mother and infant and on pregnancy outcome.
6726466,1824406568,two,5,,,,pyridoxine X HCl supplementation,Not Sure,n/a,n/a,,,,pyridoxine X HCl supplementation,Not Sure,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 weeks,TRUE,20 mg,TRUE,pyridoxine X HCl supplementation,TRUE,,,,,,,daily,TRUE,,"The effect of maternal pyridoxine X HCl (PN-HCl) supplementation on the vitamin B-6 status of pregnant women and their infants at birth and on pregnancy outcome was investigated. Volunteer subjects were randomly assigned a daily vitamin B-6 supplement containing 0, 2.6, 5, 7.5, 10, 15 or 20 mg of PN-HCl in a double-blind study. The mean dietary vitamin B-6 intake of the group was 1.43 +/- 1.28 mg/day as estimated from 24-hour dietary recalls. Maternal plasma pyridoxal 5'-phosphate (PLP) levels were positively correlated with vitamin B-6 supplementation at 30 weeks gestation (r = 0.55, P less than 0.0005) and at delivery (r = 0.54, P less than 0.01). Cord plasma PLP levels reached a maximum when maternal PN-HCl supplementation was 7.5 mg and greater. Supplemental PN-HCl at the 7.5-mg level was required to prevent a decrease in maternal plasma PLP at delivery. Apgar scores at 1 minute after birth were higher (P less than 0.05) for infants whose mothers took 7.5 mg or more supplemental PN-HCl than for infants of mothers who took 5 mg or less. These findings indicate that a vitamin B-6 intake between 5.5 and 7.6 mg/day (diet plus supplement as pyridoxine equivalents) was required to maintain maternal plasma PLP levels at term at a level comparable to initial values.",6726466,Effect of maternal pyridoxine X HCl supplementation on the vitamin B-6 status of mother and infant and on pregnancy outcome.
6726466,1830131818,seven,,,2.6,,PN-HCl,Pharmacological,,,,5,,PN-HCl,Pharmacological,,,,7.5,,PN-HCl,Pharmacological,,,,10,,PN-HCl,Pharmacological,,,,15,,PN-HCl,Pharmacological,,,,20,,PN-HCl,Pharmacological,,,,0,,control,No Active Treatment,,,,,,,,,,,,not stated,TRUE,,,PN-HCL,TRUE,Pharmacological,TRUE,oral,TRUE,not stated,TRUE,daily,TRUE,,"The effect of maternal pyridoxine X HCl (PN-HCl) supplementation on the vitamin B-6 status of pregnant women and their infants at birth and on pregnancy outcome was investigated. Volunteer subjects were randomly assigned a daily vitamin B-6 supplement containing 0, 2.6, 5, 7.5, 10, 15 or 20 mg of PN-HCl in a double-blind study. The mean dietary vitamin B-6 intake of the group was 1.43 +/- 1.28 mg/day as estimated from 24-hour dietary recalls. Maternal plasma pyridoxal 5'-phosphate (PLP) levels were positively correlated with vitamin B-6 supplementation at 30 weeks gestation (r = 0.55, P less than 0.0005) and at delivery (r = 0.54, P less than 0.01). Cord plasma PLP levels reached a maximum when maternal PN-HCl supplementation was 7.5 mg and greater. Supplemental PN-HCl at the 7.5-mg level was required to prevent a decrease in maternal plasma PLP at delivery. Apgar scores at 1 minute after birth were higher (P less than 0.05) for infants whose mothers took 7.5 mg or more supplemental PN-HCl than for infants of mothers who took 5 mg or less. These findings indicate that a vitamin B-6 intake between 5.5 and 7.6 mg/day (diet plus supplement as pyridoxine equivalents) was required to maintain maternal plasma PLP levels at term at a level comparable to initial values.",6726466,Effect of maternal pyridoxine X HCl supplementation on the vitamin B-6 status of mother and infant and on pregnancy outcome.
7074523,1824231543,four,4,,,,CFP,Pharmacological,,18,,,,CFP-CA,Pharmacological,,19,,,,CA,Pharmacological,,41,,,,CAF,Pharmacological,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,na,TRUE,"Comparison of four-combination chemotherapy programs in metastatic breast cancer: comparison of multiple drug therapy with cytoxan, 5-FU and prednisone versus cytoxan and adriamycin, versus cytoxan, 5-FU and adriamycin, versus cytoxan, 5-FU and prednisone alternating with cytoxan and adriamycin.",TRUE,Pharmacological,TRUE,na,TRUE,,,na,TRUE,,"In 126 postmenopausal women with metastatic breast cancer, four chemotherapeutic combination programs were tested. Patients were stratified and randomized to one of the four programs: (1) fluorouracil, cytoxan and prednisone (CFP): (2) fluorouracil, cytoxan and Adriamycin (CAF); (3) cytoxan and Adriamycin (CA); or (4) alternating combinations of CFP-CA. Objective response rates were 17% for 18 patients on CFP, 25% for 40 patients on CAF, 42% for 41 patients on CA and 63% for 19 patients on CFP-CA. CFP-CA provided a significantly higher response rate than either CFP or CAF. The response rate of CA was intermediate. The duration of remission and survival were similar for all four groups. When progression or relapse following remission was demonstrated, patients were rerandomized to either adrenalectomy or tamoxifen. There were no responders either in the 15 patients undergoing adrenalectomy or the 11 patients receiving tamoxifen. In a crossover study, nine adrenalectomized patients received tamoxifen and four tamoxifen-treated patients underwent adrenalectomy. None responded. It appears that response rates to hormonal modalities are reduced in patients previously treated by combination chemotherapy.",7074523,"Comparison of four-combination chemotherapy programs in metastatic breast cancer: comparison of multiple drug therapy with cytoxan, 5-FU and prednisone versus cytoxan and adriamycin, versus cytoxan, 5-FU and adriamycin, versus cytoxan, 5-FU and prednisone alternating with cytoxan and adriamycin."
7074523,1825058168,four,5,,,,chemotherapy programs in metastatic breast cancer,Not Sure,,,,,,chemotherapy programs in metastatic breast cancer,Not Sure,,,,,,chemotherapy programs in metastatic breast cancer,Not Sure,,,,,,chemotherapy programs in metastatic breast cancer,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,TRUE,n/a,TRUE,chemotherapy programs in metastatic breast cancer,TRUE,,,n/a,TRUE,126,TRUE,n/a,TRUE,,"In 126 postmenopausal women with metastatic breast cancer, four chemotherapeutic combination programs were tested. Patients were stratified and randomized to one of the four programs: (1) fluorouracil, cytoxan and prednisone (CFP): (2) fluorouracil, cytoxan and Adriamycin (CAF); (3) cytoxan and Adriamycin (CA); or (4) alternating combinations of CFP-CA. Objective response rates were 17% for 18 patients on CFP, 25% for 40 patients on CAF, 42% for 41 patients on CA and 63% for 19 patients on CFP-CA. CFP-CA provided a significantly higher response rate than either CFP or CAF. The response rate of CA was intermediate. The duration of remission and survival were similar for all four groups. When progression or relapse following remission was demonstrated, patients were rerandomized to either adrenalectomy or tamoxifen. There were no responders either in the 15 patients undergoing adrenalectomy or the 11 patients receiving tamoxifen. In a crossover study, nine adrenalectomized patients received tamoxifen and four tamoxifen-treated patients underwent adrenalectomy. None responded. It appears that response rates to hormonal modalities are reduced in patients previously treated by combination chemotherapy.",7074523,"Comparison of four-combination chemotherapy programs in metastatic breast cancer: comparison of multiple drug therapy with cytoxan, 5-FU and prednisone versus cytoxan and adriamycin, versus cytoxan, 5-FU and adriamycin, versus cytoxan, 5-FU and prednisone alternating with cytoxan and adriamycin."
7074523,1830987491,four,3,,,,"fluorouracil, cytoxan and prednisone",Other,,18,,,,"fluorouracil, cytoxan and Adriamycin",Other,,40,,,,cytoxan and Adriamycin,Other,,41,,,,alternating combinations of CFP-CA.,Other,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,TRUE,Unknown,TRUE,,,,,Unknown,TRUE,,,Unknown,TRUE,,"In 126 postmenopausal women with metastatic breast cancer, four chemotherapeutic combination programs were tested. Patients were stratified and randomized to one of the four programs: (1) fluorouracil, cytoxan and prednisone (CFP): (2) fluorouracil, cytoxan and Adriamycin (CAF); (3) cytoxan and Adriamycin (CA); or (4) alternating combinations of CFP-CA. Objective response rates were 17% for 18 patients on CFP, 25% for 40 patients on CAF, 42% for 41 patients on CA and 63% for 19 patients on CFP-CA. CFP-CA provided a significantly higher response rate than either CFP or CAF. The response rate of CA was intermediate. The duration of remission and survival were similar for all four groups. When progression or relapse following remission was demonstrated, patients were rerandomized to either adrenalectomy or tamoxifen. There were no responders either in the 15 patients undergoing adrenalectomy or the 11 patients receiving tamoxifen. In a crossover study, nine adrenalectomized patients received tamoxifen and four tamoxifen-treated patients underwent adrenalectomy. None responded. It appears that response rates to hormonal modalities are reduced in patients previously treated by combination chemotherapy.",7074523,"Comparison of four-combination chemotherapy programs in metastatic breast cancer: comparison of multiple drug therapy with cytoxan, 5-FU and prednisone versus cytoxan and adriamycin, versus cytoxan, 5-FU and adriamycin, versus cytoxan, 5-FU and prednisone alternating with cytoxan and adriamycin."
7835358,1824194954,two,4,,,,"AV conduction,",Behavioral,,,,,,AAIR pacing,Behavioral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,na,TRUE,"Rate adaptive pacing in sick sinus syndrome: effects of pacing modes and intrinsic conduction on physiological responses, arrhythmias, symptomatology and quality of life.",TRUE,Behavioral,TRUE,na,TRUE,15,TRUE,na,TRUE,,"An atrial-based pacing mode is superior to ventricular constant rate demand pacing (VVI) mode in patients with sick sinus syndrome (SSS) by providing both rate adaptation and atrioventricular (AV) synchrony. The use of a non-atrial sensor to overcome chronotropic incompetence and preserve normal intrinsic AV conduction in pacemaker therapy for SSS was investigated in 15 consecutive patients (mean age 66 +/- 2 years). All had intact AV conduction (antegrade conduction capacity > 100 beats.min-1 and an atrial paced to intrinsic R interval of < or = 220 ms). DDDR pacemakers capable of being programmed into atrial rate adaptive (AAIR), dual chamber rate adaptive (DDDR) and ventricular rate adaptive (VVIR) modes were used. Beginning with an acute study, arterial pressure was invasively assessed in each pacing mode during physiological stresses and low level exercise. In the ambulatory phase, the incidence of ventricular pacing and arrhythmias (Holter recording), diurnal blood pressure changes (ambulatory blood pressure recording), and symptom and quality of life level (questionnaires and interviews) were compared. Despite similar heart rate changes during acute physiological stresses, a higher blood pressure was recorded during AAIR or DDDR pacing compared with VVIR pacing. Systolic blood pressure over 24 h was lower in the VVIR mode (122 +/- 5 mmHg) than AAIR/DDDR pacing (129 +/- 6/128 +/- 6 mmHg, P < 0.05). VVIR pacing was associated with a higher frequency of atrial and ventricular ectopics, with two patients developing paroxysmal atrial fibrillation. Ventricular pacing was used in a higher percentage in the DDDR compared with the VVIR mode (64 +/- 11 and 39 +/- 7%, P < 0.03). VVIR pacing was associated with more palpitations, a lower level of general well being and depression. Despite the use of a sensor to overcome chronotropic incompetence, VVIR pacing is a less satisfactory pacing mode for SSS. Although AAIR/DDDR pacing may achieve similar haemodynamic and clinical status, in patients with intact AV conduction, AAIR pacing may be preferable by avoiding an abnormal ventricular activation pattern.",7835358,"Rate adaptive pacing in sick sinus syndrome: effects of pacing modes and intrinsic conduction on physiological responses, arrhythmias, symptomatology and quality of life."
7835358,1824406570,two,5,,n/a,,Rate adaptive pacing in sick sinus syndrome,Not Sure,n/a,,n/a,n/a,,Rate adaptive pacing in sick sinus syndrome,Not Sure,n/a,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 years,TRUE,,,Rate adaptive pacing in sick sinus syndrome,TRUE,,,,,15,TRUE,,,,"An atrial-based pacing mode is superior to ventricular constant rate demand pacing (VVI) mode in patients with sick sinus syndrome (SSS) by providing both rate adaptation and atrioventricular (AV) synchrony. The use of a non-atrial sensor to overcome chronotropic incompetence and preserve normal intrinsic AV conduction in pacemaker therapy for SSS was investigated in 15 consecutive patients (mean age 66 +/- 2 years). All had intact AV conduction (antegrade conduction capacity > 100 beats.min-1 and an atrial paced to intrinsic R interval of < or = 220 ms). DDDR pacemakers capable of being programmed into atrial rate adaptive (AAIR), dual chamber rate adaptive (DDDR) and ventricular rate adaptive (VVIR) modes were used. Beginning with an acute study, arterial pressure was invasively assessed in each pacing mode during physiological stresses and low level exercise. In the ambulatory phase, the incidence of ventricular pacing and arrhythmias (Holter recording), diurnal blood pressure changes (ambulatory blood pressure recording), and symptom and quality of life level (questionnaires and interviews) were compared. Despite similar heart rate changes during acute physiological stresses, a higher blood pressure was recorded during AAIR or DDDR pacing compared with VVIR pacing. Systolic blood pressure over 24 h was lower in the VVIR mode (122 +/- 5 mmHg) than AAIR/DDDR pacing (129 +/- 6/128 +/- 6 mmHg, P < 0.05). VVIR pacing was associated with a higher frequency of atrial and ventricular ectopics, with two patients developing paroxysmal atrial fibrillation. Ventricular pacing was used in a higher percentage in the DDDR compared with the VVIR mode (64 +/- 11 and 39 +/- 7%, P < 0.03). VVIR pacing was associated with more palpitations, a lower level of general well being and depression. Despite the use of a sensor to overcome chronotropic incompetence, VVIR pacing is a less satisfactory pacing mode for SSS. Although AAIR/DDDR pacing may achieve similar haemodynamic and clinical status, in patients with intact AV conduction, AAIR pacing may be preferable by avoiding an abnormal ventricular activation pattern.",7835358,"Rate adaptive pacing in sick sinus syndrome: effects of pacing modes and intrinsic conduction on physiological responses, arrhythmias, symptomatology and quality of life."
7835358,1830131813,three,4,,,,atrial rate adaptive (AAIR),Medical Devices,,,,,,dual chamber rate adaptive (DDDR),Medical Devices,,,,,,ventricular rate adaptive (VVIR),Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not stated,TRUE,n/a,TRUE,rate adaptive pacing,TRUE,Medical Devices,TRUE,programmed,TRUE,15,TRUE,not stated,TRUE,,"An atrial-based pacing mode is superior to ventricular constant rate demand pacing (VVI) mode in patients with sick sinus syndrome (SSS) by providing both rate adaptation and atrioventricular (AV) synchrony. The use of a non-atrial sensor to overcome chronotropic incompetence and preserve normal intrinsic AV conduction in pacemaker therapy for SSS was investigated in 15 consecutive patients (mean age 66 +/- 2 years). All had intact AV conduction (antegrade conduction capacity > 100 beats.min-1 and an atrial paced to intrinsic R interval of < or = 220 ms). DDDR pacemakers capable of being programmed into atrial rate adaptive (AAIR), dual chamber rate adaptive (DDDR) and ventricular rate adaptive (VVIR) modes were used. Beginning with an acute study, arterial pressure was invasively assessed in each pacing mode during physiological stresses and low level exercise. In the ambulatory phase, the incidence of ventricular pacing and arrhythmias (Holter recording), diurnal blood pressure changes (ambulatory blood pressure recording), and symptom and quality of life level (questionnaires and interviews) were compared. Despite similar heart rate changes during acute physiological stresses, a higher blood pressure was recorded during AAIR or DDDR pacing compared with VVIR pacing. Systolic blood pressure over 24 h was lower in the VVIR mode (122 +/- 5 mmHg) than AAIR/DDDR pacing (129 +/- 6/128 +/- 6 mmHg, P < 0.05). VVIR pacing was associated with a higher frequency of atrial and ventricular ectopics, with two patients developing paroxysmal atrial fibrillation. Ventricular pacing was used in a higher percentage in the DDDR compared with the VVIR mode (64 +/- 11 and 39 +/- 7%, P < 0.03). VVIR pacing was associated with more palpitations, a lower level of general well being and depression. Despite the use of a sensor to overcome chronotropic incompetence, VVIR pacing is a less satisfactory pacing mode for SSS. Although AAIR/DDDR pacing may achieve similar haemodynamic and clinical status, in patients with intact AV conduction, AAIR pacing may be preferable by avoiding an abnormal ventricular activation pattern.",7835358,"Rate adaptive pacing in sick sinus syndrome: effects of pacing modes and intrinsic conduction on physiological responses, arrhythmias, symptomatology and quality of life."
7853047,1824222505,two,3,,,,streptokinase treatment,Pharmacological,,,,,,streptokinase treatment,Pharmacological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,TRUE,na,TRUE,Cumulative meta-analysis of clinical trials builds evidence for exemplary medical care.,TRUE,Pharmacological,TRUE,na,TRUE,na,TRUE,na,TRUE,,"Cumulative meta-analysis of clinical trials (a Bayesian interpretation for accumulating evidence) will profoundly affect medical care by summarizing evidence in the assessment of technology innovations. Application of the technique to the randomized control trials (RCTs) of streptokinase treatment of acute myocardial infarction, reduction of peri-operative mortality by antibiotic prophylaxis, and prevention of death from bleeding peptic ulcers has revealed efficacy years before it was suspected by any other means. Arrangement of the trials according to event rate in the controls, effect sizes, quality of the trials or according to covariables of interest has supplied unique information. If carried out prospectively the technique supplies invaluable information regarding indications for another trial, the number of patients necessary to determine the validity of past trends, and the type of patients who might be benefitted. Careful examination in a cumulative manner of the prior trials can reduce the need for future large trials.",7853047,Cumulative meta-analysis of clinical trials builds evidence for exemplary medical care.
7853047,1825026774,two,5,,,,Cumulative meta-analysis of clinical trials builds evidence,Not Sure,,,,,,Cumulative meta-analysis of clinical trials builds evidence,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a,TRUE,n/a,TRUE,Cumulative meta-analysis of clinical trials builds evidence,TRUE,Not Sure,TRUE,n/a,TRUE,n/a,TRUE,n/a,TRUE,,"Cumulative meta-analysis of clinical trials (a Bayesian interpretation for accumulating evidence) will profoundly affect medical care by summarizing evidence in the assessment of technology innovations. Application of the technique to the randomized control trials (RCTs) of streptokinase treatment of acute myocardial infarction, reduction of peri-operative mortality by antibiotic prophylaxis, and prevention of death from bleeding peptic ulcers has revealed efficacy years before it was suspected by any other means. Arrangement of the trials according to event rate in the controls, effect sizes, quality of the trials or according to covariables of interest has supplied unique information. If carried out prospectively the technique supplies invaluable information regarding indications for another trial, the number of patients necessary to determine the validity of past trends, and the type of patients who might be benefitted. Careful examination in a cumulative manner of the prior trials can reduce the need for future large trials.",7853047,Cumulative meta-analysis of clinical trials builds evidence for exemplary medical care.
7853047,1830858948,two,5,,,,Unknown,Not Sure,,,,,,Unknown,Not Sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,Not Sure,TRUE,Unknown,TRUE,None,TRUE,Unknown,TRUE,,"Cumulative meta-analysis of clinical trials (a Bayesian interpretation for accumulating evidence) will profoundly affect medical care by summarizing evidence in the assessment of technology innovations. Application of the technique to the randomized control trials (RCTs) of streptokinase treatment of acute myocardial infarction, reduction of peri-operative mortality by antibiotic prophylaxis, and prevention of death from bleeding peptic ulcers has revealed efficacy years before it was suspected by any other means. Arrangement of the trials according to event rate in the controls, effect sizes, quality of the trials or according to covariables of interest has supplied unique information. If carried out prospectively the technique supplies invaluable information regarding indications for another trial, the number of patients necessary to determine the validity of past trends, and the type of patients who might be benefitted. Careful examination in a cumulative manner of the prior trials can reduce the need for future large trials.",7853047,Cumulative meta-analysis of clinical trials builds evidence for exemplary medical care.
