pmid,abstract,arm_num_gold,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,title
7074523,"In 126 postmenopausal women with metastatic breast cancer, four chemotherapeutic combination programs were tested. Patients were stratified and randomized to one of the four programs: (1) fluorouracil, cytoxan and prednisone (CFP): (2) fluorouracil, cytoxan and Adriamycin (CAF); (3) cytoxan and Adriamycin (CA); or (4) alternating combinations of CFP-CA. Objective response rates were 17% for 18 patients on CFP, 25% for 40 patients on CAF, 42% for 41 patients on CA and 63% for 19 patients on CFP-CA. CFP-CA provided a significantly higher response rate than either CFP or CAF. The response rate of CA was intermediate. The duration of remission and survival were similar for all four groups. When progression or relapse following remission was demonstrated, patients were rerandomized to either adrenalectomy or tamoxifen. There were no responders either in the 15 patients undergoing adrenalectomy or the 11 patients receiving tamoxifen. In a crossover study, nine adrenalectomized patients received tamoxifen and four tamoxifen-treated patients underwent adrenalectomy. None responded. It appears that response rates to hormonal modalities are reduced in patients previously treated by combination chemotherapy.",four,,,,,,,Pharmacological,TRUE,,,126,TRUE,,,,,"fluorouracil, cytoxan and prednisone (CFP)",,,,,,,"fluorouracil, cytoxan and Adriamycin (CAF)",,,,,,,cytoxan and Adriamycin (CA),,,,,,,alternating combinations of CFP-CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7835358,"An atrial-based pacing mode is superior to ventricular constant rate demand pacing (VVI) mode in patients with sick sinus syndrome (SSS) by providing both rate adaptation and atrioventricular (AV) synchrony. The use of a non-atrial sensor to overcome chronotropic incompetence and preserve normal intrinsic AV conduction in pacemaker therapy for SSS was investigated in 15 consecutive patients (mean age 66 +/- 2 years). All had intact AV conduction (antegrade conduction capacity > 100 beats.min-1 and an atrial paced to intrinsic R interval of < or = 220 ms). DDDR pacemakers capable of being programmed into atrial rate adaptive (AAIR), dual chamber rate adaptive (DDDR) and ventricular rate adaptive (VVIR) modes were used. Beginning with an acute study, arterial pressure was invasively assessed in each pacing mode during physiological stresses and low level exercise. In the ambulatory phase, the incidence of ventricular pacing and arrhythmias (Holter recording), diurnal blood pressure changes (ambulatory blood pressure recording), and symptom and quality of life level (questionnaires and interviews) were compared. Despite similar heart rate changes during acute physiological stresses, a higher blood pressure was recorded during AAIR or DDDR pacing compared with VVIR pacing. Systolic blood pressure over 24 h was lower in the VVIR mode (122 +/- 5 mmHg) than AAIR/DDDR pacing (129 +/- 6/128 +/- 6 mmHg, P < 0.05). VVIR pacing was associated with a higher frequency of atrial and ventricular ectopics, with two patients developing paroxysmal atrial fibrillation. Ventricular pacing was used in a higher percentage in the DDDR compared with the VVIR mode (64 +/- 11 and 39 +/- 7%, P < 0.03). VVIR pacing was associated with more palpitations, a lower level of general well being and depression. Despite the use of a sensor to overcome chronotropic incompetence, VVIR pacing is a less satisfactory pacing mode for SSS. Although AAIR/DDDR pacing may achieve similar haemodynamic and clinical status, in patients with intact AV conduction, AAIR pacing may be preferable by avoiding an abnormal ventricular activation pattern.",three,,,,,,,Medical Devices,TRUE,,,15,TRUE,,,,,atrial rate adaptive mode (AAIR),,,,,,,dual chamber rate adaptive mode (DDDR),,,,,,,ventricular rate adaptive (VVIR) mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7853047,"Cumulative meta-analysis of clinical trials (a Bayesian interpretation for accumulating evidence) will profoundly affect medical care by summarizing evidence in the assessment of technology innovations. Application of the technique to the randomized control trials (RCTs) of streptokinase treatment of acute myocardial infarction, reduction of peri-operative mortality by antibiotic prophylaxis, and prevention of death from bleeding peptic ulcers has revealed efficacy years before it was suspected by any other means. Arrangement of the trials according to event rate in the controls, effect sizes, quality of the trials or according to covariables of interest has supplied unique information. If carried out prospectively the technique supplies invaluable information regarding indications for another trial, the number of patients necessary to determine the validity of past trends, and the type of patients who might be benefitted. Careful examination in a cumulative manner of the prior trials can reduce the need for future large trials.",???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7942261,"The clinical performance of the Copper T380A (TCu380A) and the Multiload 250 (MLCu250) intrauterine devices (IUDs) were evaluated for 12 months in a group of women who had one of the two IUDs inserted. Results are from a randomized clinical trial conducted at four collaborating research sites located in three developing countries. The gross cumulative life-table pregnancy rate of the TCu380A IUD was significantly lower than the rate with the MLCu250 IUD at 12 months (0.5 and 1.2, respectively, p < 0.01). No statistically significant differences between the two study IUDs were found with regard to IUD expulsion or IUD removal due to bleeding/pain, personal reasons, medical reasons, or planned pregnancy. TCu380A IUD users were more likely to report experiencing increased dysmenorrhea (p < 0.01) or intermenstrual pelvic pain (p < 0.01) than were MLCu250 IUD users. However, few of these users discontinued use of their assigned IUD because of having experienced menstrual bleeding disturbances or intermenstrual pelvic pain. These data indicate that the TCu380A IUD may be a better option than the MLCu250 IUD for women wishing to practice highly effective long-term birth control without having to resort to hormonal methods.",two ,12 months,TRUE,,,,,Medical Devices,TRUE,intrauterine,TRUE,,,,,,,Copper T380A (TCu380A) ,,,,,,,Multiload 250 (MLCu250) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8018001,"The safety and effectiveness of different dosages and combinations of antihypertensive agents can be efficiently studied using a multifactorial trial design. In consultation with the Cardio-Renal Division of the Food and Drug Administration, we conducted a randomized, double-blind, placebo-controlled, 3 x 4 factorial trial of bisoprolol, a beta 1-selective adrenergic blocking agent, and hydrochlorothiazide.<br /><br />A total of 512 patients with mild to moderate essential hypertension were randomized to once-daily treatment with bisoprolol (0, 2.5, 10, or 40 mg), hydrochlorothiazide (0, 6.25, or 25 mg), and all possible combinations. Diastolic and systolic blood pressures were monitored during this 12-week trial.<br /><br />The effects of bisoprolol and hydrochlorothiazide were additive with respect to reductions in diastolic and systolic blood pressures over the dosage ranges studied. The addition of hydrochlorothiazide (or bisoprolol) to therapy with bisoprolol (or hydrochlorothiazide) produced an incremental reduction in blood pressure. Dosages of hydrochlorothiazide as low as 6.25 mg/d contributed a significant antihypertensive effect. A hydrochlorothiazide dosage of 6.25 mg/d produced significantly less hypokalemia and less of an increase in uric acid levels than a dosage of 25 mg/d. The low-dose combination of bisoprolol, 2.5 mg/d, and hydrochlorothiazide, 6.25 mg/d, reduced diastolic blood pressure to lower than 90 mm Hg in 61% of patients and demonstrated a safety profile that compared favorably with that of placebo.<br /><br />The utility of factorial design trials to characterize dose-response relationships and to test the potential interactions between various antihypertensive agents has been demonstrated. The combination of low dosages of bisoprolol and hydrochlorothiazide may be a rational alternative to conventional stepped-care therapy for the initial treatment of patients with mild to moderate hypertension.",more than 8,12 weeks,TRUE,,,,,Pharmacological,TRUE,,,512,TRUE,daily,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047805,"The efficacy of oral pivmecillinam was compared with nalidixic acid in the treatment of acute shigellosis in children 1-8 years of age. In a double-blind trial we studied 80 comparable children with bloody diarrhoea of less than 3 days' duration. Shigella spp. was isolated in 71 children. Patients were randomly assigned to receive either pivmecillinam, 50 mg/kg.day, or nalidixic acid, 60 mg/kg.day, both given orally for 5 days. The stool frequency decreased progressively in both treatment groups. Nalidixic acid failed to eradicate Shigella species in 10 patients, compared with three in the pivmecillinam group (p = 0.04). Similarly, clinical failure was observed in 11 of 37 patients receiving nalidixic acid and in 2 of 26 patients infected with nalidixic acid-susceptible strains as against none in the group receiving pivmecillinam. The results suggest that pivmecillinam given orally was, in fact, more effective than nalidixic acid in the treatment of acute shigellosis in children, particularly when the resistant strains are taken into account.",two,5 days,TRUE,,,,,Pharmacological,TRUE,oral,TRUE,,,per kg daily,TRUE,50 mg,,pivmecillinam,,,34,,60 mg,,nalidixic acid,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8349933,"In light of the controversial status of sublingual immunotherapy in patients with allergic rhinitis, we undertook a double-blind study of this form of treatment.<br /><br />Forty-one subjects with cat allergy presenting as rhinoconjunctivitis underwent 105 days of sublingual immunotherapy, with 20 subjects receiving a standardized cat extract (total dose approximately 4,500,000 allergy units) and 21 a matching placebo. Effectiveness of treatment was assessed by changes in symptoms and nasal-blockage index during 90 minutes of exposure in an apartment containing cat dander, which was performed before and after the course of treatment. Changes in cat-specific IgG and IgE levels and skin-test reactions were also monitored.<br /><br />Although there were fewer symptoms and less nasal obstruction on cat dander exposure at the end of the study the changes were not significantly different in those receiving active or placebo treatment. Specific IgG and IgE levels and prick skin test results did not change significantly during the course of the study.<br /><br />We conclude that sublingual immunotherapy with high-dose standardized cat extract was no more effective than placebo in reducing symptoms or affecting immunologic measures of cat sensitivity.",two,105 days,TRUE,,,,,Pharmacological,TRUE,,,,,,,"approximately 4,500,000 allergy units",,sublingual immunotherapy with high-dose standardized cat extract ,,,20,,,,a matching placebo,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8361794,"A randomized, double-blind study was conducted comparing high-iron content (15 mg/L) with low-iron content (3 mg/L) premature formula given during initial hospitalization to infants with birth weights less than 1800 g to determine the influence of these differing intakes on the iron nutritional status during the first 4 months of life. A third group of similar infants received human milk mixed with an equal volume of liquid fortifier resulting in an iron content of approximately 1.7 mg/L.<br /><br />Mean birth weight, gestational age, age at study entry, volume of blood removed for studies, and volume of red cells transfused were not different among the three groups. After hospitalization both formula-fed groups were given a cow milk formula with an iron content of 12 mg/L, and breast-fed infants were given an iron-containing multivitamin with a resulting iron intake of 10 mg/d. Infants were observed to 8 weeks after discharge.<br /><br />There were no differences in serum iron, ferritin, transferrin, transferrin saturation, hemoglobin, hematocrit, or reticulocyte count among the three groups at study entry, although mean corpuscular hemoglobin and mean corpuscular volume were lower in infants in the low-iron formula group. Mean plasma ferritin was significantly lower in infants receiving low-iron content premature formula at the time of hospital discharge compared with the other two groups. The incidence of anemia (hemoglobin < 9.0 g/dL) and low transferrin saturation (< 24%) was also greater in the low-iron content formula group. Eight weeks after discharge, the incidence of low plasma ferritin (< 19 ng/mL) remained greater in infants receiving low-iron content formula than in the other two groups. No adverse effects of iron intake were observed. Growth was not different among the three groups.<br /><br />These data indicate that preterm infants with < 1800 g birth weight receiving premature infant formula benefit from formula given during initial hospitalization containing 15 mg/L iron compared with that containing 3 mg/L.",three,4 months,TRUE,,,,,Pharmacological,TRUE,,,,,,,15 mg/L,,high-iron content premature formula,,,,,3 mg/L,,low-iron content premature formula,,,,,iron content approximately 1.7 mg/L,,human milk mixed with an equal volume of liquid fortifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8840744,"A controlled, randomized study was conducted in two chain pharmacies to determine the clinical value of comprehensive pharmacy services for hypertensive patients in a chain pharmacy setting. Twenty-seven patients were enrolled as intervention participants with 26 control subjects. Monthly services for the intervention group included blood pressure and heart rate assessments and counseling on lifestyle modifications and drug therapy. Control patients received initial and final blood pressure measurements and minimal counseling. Both study and control groups completed quality-of-life questionnaires upon entering and completing the study. Results showed that blood pressure control was significantly improved in the study group. Compliance rates as well as energy/fatigue scores (a quality-of-life scale) improved in the study group compared with the control population. Community pharmacists in chain stores could have a beneficial effect on the health care of large numbers of patients if pharmaceutical care programs were developed.",two,,,,,,,Other,TRUE,,,,,monthly,TRUE,,,comprehensive pharmacy services: blood pressure and heart rate assessments and counseling on lifestyle modifications and drug therapy,,,27,,,,Control patients received initial and final blood pressure measurements and minimal counseling,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8964276,"The efficacy and safety of lamotrigine and carbamazepine as monotherapy in patients with untreated, newly diagnosed or recurrent partial and/or generalised tonic-clonic seizures, were compared in a randomised, open, multicentre study. Patients received 24 weeks' treatment with oral lamotrigine 100 mg (LTG 100, n = 115) or 200 mg (LTG 200, n = 111) or carbamazepine 600 mg (CBZ 600, n = 117). Efficacy measurements were comparable between the three treatment groups, although the higher lamotrigine dose was possibly most effective, with 60.4% completing seizure free compared with 51.3% (LTG 100) and 54.7% (CBZ 600). Both dosage regimens of lamotrigine were well tolerated. More patients on CBZ 600 reported adverse experiences, 66% versus 53% (LTG 100) and 58% (LTG 200), and of these a greater proportion were attributed to CBZ 600 treatment, 53% versus 23% (LTG 100) and 28% (LTG 200). Similarly, a greater proportion of the CBZ 600 group required a change in dose, 47% versus 20% (LTG 100) and 17% (LTG 200) or withdrew completely due to adverse experiences, 10.3% versus 4.3% (LTG 100) and 4.5% (LTG 200). The most common adverse experience leading to withdrawal was rash, with approximately double the proportion of reports occurring in patients on CBZ 600 (5.1%) compared with lamotrigine (1.7% on LTG 100 and 2.7% on LTG 200). Overall lamotrigine appeared equally effective but better tolerated compared with carbamazepine.",three,24 weeks,TRUE,,,,,Pharmacological,TRUE,oral,TRUE,,,,,100 mg,,lamotrigine,,,115,,200 mg,,lamotrigine,,,111,,600mg,,carbamazepine,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8977598,"The rebound increase in bronchial reactivity and fall in forced expiratory volume in one second (FEV1) following treatment with beta agonists seen in several studies has occurred regardless of concurrent steroid therapy. Little is known about the effect of adding beta agonists to corticosteroids, but in a recent study regular treatment with terbutaline appeared to reduce some of the beneficial effects of budesonide. The effects of budesonide alone and in combination with regular terbutaline treatment on lung function, symptom scores, and bronchial reactivity were therefore examined.<br /><br />Sixteen subjects with mild stable asthma inhaled budesonide 800 micrograms twice daily for two periods of 14 days with terbutaline 1000 micrograms three times daily or placebo in a double blind crossover fashion. FEV1 and the dose of histamine or adenosine monophosphate (AMP) causing a 20% fall in FEV1 (PD20) were measured before and 12 hours after the final dose of treatment, and changes from baseline were compared. Seven day mean values for daily morning and evening peak expiratory flow (PEF) values, symptom scores, and rescue medication were compared before and during treatment.<br /><br />Morning and evening PEF rose more with budesonide plus terbutaline than with budesonide alone, with a mean difference of 19 l/min occurring in the evening (95% confidence interval (CI) 2 to 36). There was no difference in symptom scores during treatment. Following treatment the mean increase in FEV1 was 150 ml higher with budesonide alone (95% CI-10 to 300). There was no difference between treatments in change in histamine and AMP PD20.<br /><br />Evening PEF was greater when budesonide was combined with regular terbutaline. There was no evidence of a difference in bronchial reactivity following the two treatment regimens. The findings of a previous study were not confirmed as the reduction in FEV1 after budesonide and terbutaline was smaller and not statistically significant. Further work is needed to determine whether this disparity in findings in the two studies is due to a type 2 statistical error in this study or a spurious finding in the previous study.",two,two periods of 14 days,TRUE,,,budesonide 800 micrograms twice daily ,TRUE,Pharmacological,TRUE,inhaled,TRUE,,,,,1000 micrograms,,terbutaline,,,16,three times daily,,,placebo,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109702,"Fluticasone propionate, an inhaled corticosteroid with negligible systemic bioavailability via the oral route, is efficacious in the treatment of asthma when administered via metered-dose inhaler.<br /><br />To evaluate the efficacy and safety of inhaled fluticasone propionate powder in patients with moderate asthma previously treated with an inhaled corticosteroid.<br /><br />This was a randomized, double-blind, placebo-controlled, parallel-group, multicenter study of 342 adolescent and adult patients with moderate asthma [forced expiratory volume in 1 second (FEV1) between 50% and 80% of predicted] treated previously by beclomethasone dipropionate or triamcinolone acetonide. Patients received fluticasone propionate powder 50 micrograms, 100 micrograms, 250 micrograms, or placebo via a breath-actuated inhalation device, the Diskhaler, twice daily for 12 weeks.<br /><br />Patients in the fluticasone propionate groups experienced a mean increase from baseline to endpoint in FEV1 ranging from 0.43 L to 0.47 L. Patients in the placebo group experienced a mean decrease from baseline of 0.22 L (P < .001). The probability of patients remaining in the study over time without developing signs of exacerbating asthma was significantly greater in the fluticasone propionate groups than in the placebo group (P = .001). Asthma symptom scores, supplemental rescue albuterol use, and number of nighttime awakenings due to asthma requiring treatment also improved significantly with all fluticasone propionate treatment regimens compared with placebo (P < .001). There were no statistically significant differences at endpoint among the three fluticasone propionate groups. No serious drug-related adverse events occurred.<br /><br />Fluticasone propionate powder (50, 100, and 250 micrograms) was well-tolerated and significantly improved lung function in patients with moderate asthma.",four,12 weeks,TRUE,,,,,Pharmacological,TRUE,inhaled,TRUE,342,TRUE,twice daily,TRUE,50 micrograms,,Fluticasone propionate powder,,,,,100 micrograms,,Fluticasone propionate powder,,,,, 250 micrograms,,Fluticasone propionate powder,,,,,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9362179,"To determine the diagnostic value of empirical treatment with omeprazole in the diagnosis of gastroesophageal reflux disease (GERD).<br /><br />Patients with symptoms suggestive of GERD underwent upper gastrointestinal endoscopy and 24-h esophageal pH monitoring. Patients with reflux esophagitis grade 0 or 1 were included in the study and were randomized to double-blind treatment with either 40 mg omeprazole or placebo o.m. The effect of treatment was evaluated after 1 and 2 wk with a symptom questionnaire with a four-grade Likert scale, and symptomatic response outcome was compared with the results of 24-h pH-metry.<br /><br />Ninety-eight patients were included; however, 13 were excluded from the final analysis because of protocol violation. Of the remaining 85 patients, 54 had no signs of esophagitis at endoscopy, and 31 had esophagitis grade 1. The pH registration showed pathological gastroesophageal reflux in 47 patients (55%). Forty-one patients were randomized to treatment with omeprazole and 44 to placebo. There was a significant correlation between the pH registration result and response to omeprazole (p = 0.04, chi2), but not to placebo (p = 0.16). With pH-metry as the gold standard, the omeprazole test had positive and negative predictive values of 68% and 63%, respectively, for the diagnosis of GERD. When the omeprazole test was used as the gold standard, the positive and negative predictive values of pH monitoring were 68 % and 63 %, respectively. Similar sensitivity was found when the pH-metry was compared with presence of esophagitis.<br /><br />Determination of the symptomatic response to 40 mg of omeprazole for 14 days is a simple and inexpensive tool for the diagnosis of GERD, with a sensitivity and specificity comparable to 24-h pH monitoring.",two,two weeks,TRUE,,,,,Pharmacological,TRUE,,,,,,,40 mg,,omeprazole,,,41,,,,placebo,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9434669,"To evaluate the impact of regular multidisciplinary team interventions on the quantity and quality of psychotropic drug prescribing in Swedish nursing homes.<br /><br />A randomized controlled trial.<br /><br />A sample of 33 nursing homes: 15 experimental homes and 18 control homes representing 5% of all Swedish nursing homes.<br /><br />The sample consisted of 1854 long-term care residents with an average age of 83 years. Seventy percent of the residents were women, and 42% had a documented diagnosis of dementia. An additional 5% had a psychotic disorder, and 7% had a diagnosis of depression.<br /><br />Experimental homes participated in an outreach program that was designed to influence drug use through improved teamwork among physicians, pharmacists, nurses, and nurses' assistants. Multidisciplinary team meetings were held on a regular basis throughout the 12-month study period.<br /><br />Lists of each resident's prescriptions were collected 1 month before and 1 month after the 12-month intervention. Measures included the proportion of residents with any psychotropic drug, polymedicine, and therapeutic duplication and proportion of residents with nonrecommended and acceptable drugs in each psychotropic drug class, as defined by current Swedish guidelines.<br /><br />Baseline results show extensive psychotropic drug prescribing, with the most commonly prescribed drugs being hypnotics (40%), anxiolytics (40%), and antipsychotics (38%). After 12 months of team meetings in the experimental homes, there was a significant decrease in the prescribing of psychotics (-19%), benzodiazepine hypnotics (-37%), and antidepressants (-59%). Orders for more acceptable antidepressants also increased in the experimental homes. In the control homes there was increased use of acceptable antidepressants, but there were no significant reductions in other drug classes.<br /><br />There is excessive prescription of psychotropic drugs in Swedish nursing homes. Improved teamwork among caregivers can improve prescribing as defined by clinical guidelines.",two,12 months,TRUE,,,,,Educational,TRUE,,,,,,,,,experimental nursing homes: regular multidisciplinary team interventions on the quantity and quality of psychotropic drug prescribing,,,15,,,,control group,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9549022,"To investigate the effectiveness of sodium diclofenac and sodium salicylate applied by topical iontophoresis and to compare them in the treatment of lateral epicondylitis.<br /><br />Forty patients with lateral epicondylitis were randomized into two groups of 20 patients who were matched for age and sex.<br /><br />The patients in one group were treated by iontophoresis of sodium diclofenac and the other group were treated by iontophoresis of sodium salicylate. Then infrared treatment was applied to patients in both groups.<br /><br />Pain scores obtained before and after treatment were compared.<br /><br />Pain produced by pressure on the lateral epicondyle, on resisting wrist extension, during function and spontaneous pain at rest significantly decreased in both groups after treatment (p < 0.001). When pain scores obtained after treatment were compared, greater decrease was observed in the pain produced on resisting wrist extension (p < 0.01) and by pressure on the lateral epicondyle (p < 0.05) in the group treated with sodium diclofenac than in the group treated with sodium salicylate.<br /><br />The results suggest some benefits from the process of iontophoresis and the use of infrared in the treatment of lateral epicondylitis and indicate that iontophoresis of sodium diclofenac is more effective than that of sodium salicylate.",two,,,,,infrared treatment,TRUE,Pharmacological,TRUE,iontophoresis,TRUE,,,,,,,sodium diclofenac,,,20,,,,sodium salicylate,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9549451,"To assess the net 5 year effects of intervention of a community based demonstration project, the Heartbeat Wales programme, on modifiable behavioural risks for prevention of cardiovascular disease.<br /><br />Quasi-experimental design comparing results from two independent cross sectional population surveys conducted in 1985 and 1990 in Wales and a matched reference area in north east England.<br /><br />Random, stratified samples of people aged 18-64 years (18,538 in 1985 and 13,045 in 1990) in Wales and in north east England (1483 and 4534, respectively).<br /><br />A coordinated range of activities for heart health promotion in Wales entailing public education campaigns along with supportive policy and infrastructure change. In the reference area no additional community heart health promotion was planned, though considerable activity did take place, ""contaminating"" the reference area.<br /><br />Fifteen self reported behavioural indicators relating to dietary choice, smoking, frequency of exercise, and weight.<br /><br />Positive changes (for health) in behavioural outcomes were observed among the population in Wales, including a reduction in reported smoking prevalence and improvements in dietary choice. There was no net intervention effect for the programme over and above observed change in the reference area.<br /><br />No definite conclusions can be drawn concerning the efficacy of the programme in terms of behavioural outcomes. With hindsight, the difficulties of evaluating such a complex multifaceted intervention were underestimated. Further debate on the most appropriate methods for assessing the effectiveness of community based health promotion programmes is called for.",four,5 years,TRUE,,,,,Behavioral,TRUE,,,,,,,,,A coordinated range of activities for heart health promotion in Wales entailing public education campaigns along with supportive policy and infrastructure change,,,,,,,a matched reference area in north east England: In the reference area no additional community heart health promotion was planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595988,"Oxidative damage due to free-radical generation in the setting of underlying defects of neuronal energy metabolism has been implicated as a pathogenetic mechanism for Huntington's disease (HD). The authors conducted a randomized, double-blind, placebo-controlled, multicenter trial of the tolerability of OPC-14117, a lipophilic free-radical scavenger that concentrates in the brain. Ambulatory patients with HD received OPC-14117 60 mg/d, 120 mg/d, 240 mg/d, or placebo and were assessed by the Unified Huntington's Disease Rating Scale (UHDRS) for 20 weeks, including 12 or 16 weeks of assigned treatment and 8 or 4 weeks of blinded withdrawal of the study drug. Tolerability was measured by the proportion of patients completing the initial 12-week course of treatment on their originally assigned regimen. Sixty-four patients were enrolled in the study, 56 of whom completed the 12 weeks of treatment. Treatment was discontinued in four patients (1 placebo, 1 60 mg/d, 2 240 mg/d) due to asymptomatic but persistent serum elevations of liver transaminase. Two patients (1 60 mg/d and 1 120 mg/d) withdrew because of increased involuntary movements, one patient (60 mg/d) withdrew due to persistent dry eyes, and one patient (120 mg/d) withdrew because of persistent vomiting. There were no significant differences between treatment arms in the primary measures of tolerability, the frequency and types of clinical adverse events, or the clinical/functional features of HD. OPC-14117 was safe and generally well tolerated; however, elevations of liver transaminase suggested that continued surveillance monitoring is warranted in conducting more long-term studies of this antioxidant therapy.",four,20 weeks,TRUE,,,,,Pharmacological,TRUE,,,56,TRUE,daily,TRUE,60 mg,,OPC-14117,,,,,120 mg,,OPC-14117,,,,,240 mg,,OPC-14117,,,,,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9834769,"Our study compared use of atorvastatin, fluvastatin, lovastatin, and simvastatin for lowering low-density lipoprotein (LDL) cholesterol concentration in patients at risk for coronary heart disease (CHD). The goal was to reach the LDL cholesterol levels recommended by the National Cholesterol Education Program (NCEP).<br /><br />A combined total of 344 men and women took part in this 54-week, multicenter, open-label, randomized, parallel-group, active-controlled, treat-to-target study. Patients were selected on the basis of their LDL cholesterol concentration and their risk for CHD. During treatment, doses were titrated at 12-week intervals to a maximum of 80 mg per day of atorvastatin and lovastatin, or 40 mg per day of fluvastatin and simvastatin, with colestipol added if necessary to attain the NCEP-recommended LDL cholesterol concentration.<br /><br />At the starting dose, atorvastatin decreased plasma LDL cholesterol significantly (P < .05) compared with the other reductase inhibitors, and the percentage of patients reaching target LDL cholesterol concentration at the starting dose was significantly greater in the atorvastatin group (P < .05). Overall, a significantly (P < .05) greater percentage (95%) of atorvastatin-treated patients achieved target LDL cholesterol concentration. The safety profile was similar among all reductase inhibitors tested.<br /><br />At the starting dose, a significantly (P < .05) greater percentage of atorvastatin-treated patients at risk for CHD reached the target LDL cholesterol concentration than patients with treated with other reductase inhibitors.",four,54 weeks,TRUE,,,,,Pharmacological,TRUE,,,344,TRUE,daily,TRUE,doses were titrated at 12-week intervals to a maximum of 80 mg,,atorvastatin,,,,,doses were titrated at 12-week intervals to a maximum of 80 mg,,lovastatin,,,,,doses were titrated at 12-week intervals to a maximum of 40 mg,,fluvastatin,,,,,doses were titrated at 12-week intervals to a maximum of 40 mg,,simvastatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9836156,"To compare alcohol cleaning and natural drying of newborn umbilical cords.<br /><br />Prospective, randomized controlled trial.<br /><br />Tertiary-level university teaching hospital and level II community hospital.<br /><br />Of 1,876 singleton full-term newborns enrolled, 1,811 completed the study.<br /><br />Newborns, from birth until separation of the cord, were randomized to either (a) umbilical cleansing with 70% isopropyl alcohol at each diaper change or (b) natural drying of the umbilical site without special treatment.<br /><br />Umbilical infection, cord separation time, maternal comfort, and cost.<br /><br />No newborn in either group developed a cord infection. Primary care providers obtained cultures for cord concerns in 32 newborns (1.8%), with colonization for normal flora, Staphylococcus aureus, and Group B streptococcus proportionately equal in alcohol and air dry groups. Cord separation time was statistically significantly different (alcohol group, 9.8 days; natural drying group, 8.16 days; t = 8.9, p = < .001). Mothers described similar comfort with cord care and relief with cord separation. Costs of alcohol drying while in the hospital were greater than those of natural drying.<br /><br />(a) Evidence does not support continued use of alcohol for newborn cord care; (b) health care providers should explain the normal process of cord separation, including appearance and possible odor; and (c) health care providers should continue to develop evidence to support or eliminate historic practices.",two,,,,,,,Pharmacological,TRUE,,,"1,811",TRUE,at each diaper change,TRUE,,,umbilical cleansing with 70% isopropyl alcohol,,,,,,,natural drying of the umbilical site without special treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
